Time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS,Year
2035-12-31,266329.95527221,88057.9363682173,5988.69959020258,0,7870.14153633484,29855.6595689786,2770.97126268592,49310.4098356729,0,7.73575936532628,0,0,0,0,0,16912.2017894009,306325313.040652,2022
2036-01-31,266743.447198995,88698.03125607,6000.43073297664,0,7844.31339370907,20761.8774590984,2749.34838567351,49569.9236723742,0,7.66060743736694,0,0,0,0,0,18402.1498704821,305572235.2855,2022
2036-02-29,265360.347887916,88377.1216386266,5964.88833199767,0,7818.55525588523,6561.79827446253,2727.90143162382,49743.8733257521,0,7.58623091564175,0,0,0,0,0,20021.4884228432,303717819.689855,2022
2036-03-31,265605.091405711,88302.0302976318,5981.20442685205,0,7767.86435963813,19756.61521919,2727.49128876213,49914.823252108,0,7.51262130508812,0,0,0,0,0,18184.6618461312,302413499.148495,2022
2036-04-30,265192.033798714,88264.7016497918,6007.30690860122,0,7820.45755344937,13875.4768087765,2724.0456555838,50149.8529218019,0,7.69233790164859,0,0,0,0,0,19117.0178532738,301221407.005035,2022
2036-05-31,264033.087043279,88031.3008759586,5992.26276875623,0,7874.24512775837,3543.21107096134,2702.7312854497,50331.5953195858,0,7.61820810445291,0,0,0,0,0,20367.5061222085,299229982.11622,2022
2036-06-30,263060.767004381,87802.4714217045,6016.13551460679,0,7929.26736058651,7402.43273890029,2681.59402444493,50502.0676550825,0,7.54483661601434,0,0,0,0,0,19564.2131345726,297463130.043505,2022
2036-07-31,263160.966424664,87954.0366957448,6051.68887879316,0,7985.55502143074,16772.2824376386,2675.42477988504,50699.8441672953,0,7.4722151959025,0,0,0,0,0,18902.8696977981,296215688.209409,2022
2036-08-31,262993.097401503,88390.7114070926,6056.48210739059,0,8043.08217432944,8453.27929858225,2666.7738576481,50918.484783033,0,7.40033569824401,0,0,0,0,0,19973.4046588734,294805447.702559,2022
2036-09-30,264175.197640637,89048.844963567,6073.7648163919,0,8101.89098152528,22640.333691209,2660.25028476751,51202.9919807551,0,7.3291900705886,0,0,0,0,0,18284.7665205858,294088773.687781,2022
2036-10-31,263974.437301947,88857.6535224217,6153.0241827897,0,8162.01084335043,17347.2297878043,2656.65639918124,51493.6240272674,0,7.25877035278926,0,0,0,0,0,19091.8226824389,292667155.77734,2022
2036-11-30,264943.67745368,89449.6923005142,6259.06289662779,0,8223.42981417126,24731.1212645968,2661.70686011249,51837.2009159488,0,7.18906867589624,0,0,0,0,0,18423.3116169455,292058923.421216,2022
