"Month","Total_Premiums","Total_Recoveries","Total_FinReIncomeCF","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
145,0,811389.259808098,0,7599526.89532621,811389.259808098,-7599526.89532621
146,0,812304.236971393,0,7593029.5952431,812304.236971393,-7593029.5952431
147,0,813741.813639252,0,7586227.22507971,813741.813639252,-7586227.22507971
148,0,812641.293925694,0,7581273.04578272,812641.293925694,-7581273.04578272
149,0,815510.353305464,0,7579368.72707619,815510.353305464,-7579368.72707619
150,0,818624.717408486,0,7582527.28861469,818624.717408486,-7582527.28861469
151,0,816814.22765615,0,7583001.01104074,816814.22765615,-7583001.01104074
152,0,816264.862869974,0,7560245.48933782,816264.862869974,-7560245.48933782
153,0,817198.515993884,0,7544261.82802633,817198.515993884,-7544261.82802633
154,0,818100.000819186,0,7540551.15006221,818100.000819186,-7540551.15006221
155,0,821038.53100827,0,7533579.52932421,821038.53100827,-7533579.52932421
156,0,821796.270983817,0,7525584.3186278,821796.270983817,-7525584.3186278
157,0,825841.091230304,0,7519693.9529647,825841.091230304,-7519693.9529647
158,0,825672.6485123,0,7508718.61880799,825672.6485123,-7508718.61880799
159,0,828434.756200187,0,7502102.00128504,828434.756200187,-7502102.00128504
160,0,830857.875185735,0,7502770.5885742,830857.875185735,-7502770.5885742
161,0,836249.762080399,0,7503895.51490073,836249.762080399,-7503895.51490073
162,0,837142.015379621,0,7506871.9328463,837142.015379621,-7506871.9328463
163,0,838011.628243529,0,7501306.60006162,838011.628243529,-7501306.60006162
164,0,833375.545614247,0,7474799.41740156,833375.545614247,-7474799.41740156
165,0,834396.989463225,0,7456089.94751475,834396.989463225,-7456089.94751475
166,0,835846.186555725,0,7449640.14930915,835846.186555725,-7449640.14930915
167,0,835242.063850787,0,7439363.48654763,835242.063850787,-7439363.48654763
168,0,834545.60384125,0,7432324.35064371,834545.60384125,-7432324.35064371
169,0,836531.707447055,0,7430613.42633383,836531.707447055,-7430613.42633383
170,0,837987.781387217,0,7422105.81858657,837987.781387217,-7422105.81858657
171,0,840985.268574425,0,7413846.35196726,840985.268574425,-7413846.35196726
172,0,839792.976277542,0,7402970.32849213,839792.976277542,-7402970.32849213
173,0,842491.058780479,0,7398893.22718668,842491.058780479,-7398893.22718668
174,0,844158.578985167,0,7396373.352959,844158.578985167,-7396373.352959
175,0,842259.289720815,0,7391642.86668532,842259.289720815,-7391642.86668532
176,0,836168.626857026,0,7363263.48197697,836168.626857026,-7363263.48197697
177,0,836564.889126434,0,7345453.31502146,836564.889126434,-7345453.31502146
178,0,836464.768475082,0,7339323.26142575,836464.768475082,-7339323.26142575
