id,year,type,group,portfolio,time,PREM_INC,DEATH_OUTGO,DISAB_OUTGO,INIT_EXP,REN_EXP,INIT_COMM,REN_COMM,PHIBEN_OUTGO,PHIBEN_OUTGO_BLL,CR_BEN_OUTGO,RETR_OUTGO,DTH_OUTGO,DREADDIS_OUTGO,TEMPDIS_OUTGO,RIDERC_OUTGO,RISK_ADJ,COVERAGE_UNITS
,2024,in-force,onerous,1,28/02/2030,3415576.71,879404.25,64697.95,    ,349881.87,228727.8,30623.88,401586.19,    ,544.94,    ,    ,    ,    ,    ,183116.8,7021911168
,2024,in-force,onerous,1,31/03/2030,3409905.21,879016.01,64684.16,    ,349233.04,267929.15,30617.49,402263.92,    ,541.58,    ,    ,    ,    ,    ,180756.3,6985981613
,2024,in-force,onerous,1,30/04/2030,3407269.97,879564.41,64738.53,    ,348599.85,303154.59,30722.35,403081.96,    ,538.49,    ,    ,    ,    ,    ,178826.11,6952983946
,2024,in-force,onerous,1,31/05/2030,3406905.76,880859.07,64845.71,    ,347967.37,330511.22,30766.82,404055.55,    ,535.62,    ,    ,    ,    ,    ,177626.76,6922332526
,2024,in-force,onerous,1,30/06/2030,3408930.22,882916.06,65006.3,    ,347344.51,358211.9,30832.9,405190.06,    ,532.97,    ,    ,    ,    ,    ,176487.51,6894052018
,2024,in-force,onerous,1,31/07/2030,3403889.74,883191.1,64994.99,    ,346700.31,272322.88,29924.14,406091.47,    ,529.71,    ,    ,    ,    ,    ,181824.5,6858961336
,2024,in-force,onerous,1,31/08/2030,3400170.26,883658.95,64990.2,    ,346170.27,275742.29,29907.6,406883.45,    ,526.52,    ,    ,    ,    ,    ,182641.77,6824445472
,2024,in-force,onerous,1,30/09/2030,3395637.35,883884.6,64966.24,    ,345652.98,265897.33,29883.63,407635.77,    ,523.3,    ,    ,    ,    ,    ,184606.06,6789523424
,2024,in-force,onerous,1,31/10/2030,3391797.18,884291.74,64956.92,    ,345144.69,273629.6,29865.64,408385.37,    ,520.17,    ,    ,    ,    ,    ,184983.04,6755442714
,2024,in-force,onerous,1,30/11/2030,3388734.66,884904.48,64964.15,    ,344644.07,282412.94,29854.39,409168.41,    ,517.13,    ,    ,    ,    ,    ,185294.65,6722272025
,2024,in-force,onerous,1,31/12/2030,3386500.93,885737.38,64989.11,    ,344150.09,291859.49,29850.33,409998.71,    ,514.19,    ,    ,    ,    ,    ,185580.73,6690051976
,2024,in-force,onerous,1,31/01/2031,3381669.16,885828.08,64954.9,    ,343667.89,261314.34,29822.98,410794.05,    ,511.09,    ,    ,    ,    ,    ,189331.22,6655936166
,2024,in-force,onerous,1,28/02/2031,3373624.03,885001.72,64847.74,    ,343207.46,223592.63,29766.83,411465.2,    ,507.8,    ,    ,    ,    ,    ,193514.55,6619409346
,2024,in-force,onerous,1,31/03/2031,3368904.78,885096.9,64814.39,    ,342738.82,261887.84,29740.1,412143.03,    ,504.78,    ,    ,    ,    ,    ,190908.68,6585894876
,2024,in-force,onerous,1,30/04/2031,3367173.3,886018.89,64847.24,    ,342261.82,296300.73,29739.78,412946.19,    ,502.01,    ,    ,    ,    ,    ,188827.04,6555112746
,2024,in-force,onerous,1,31/05/2031,3367765.57,887581.07,64931.41,    ,341777.66,323028,29760,413892.21,    ,499.45,    ,    ,    ,    ,    ,187576.94,6526511749
,2024,in-force,onerous,1,30/06/2031,3370708.85,889790.96,65067.48,    ,341285.39,350092.61,29800.99,414986.38,    ,497.1,    ,    ,    ,    ,    ,186424.83,6500113395
,2024,in-force,onerous,1,31/07/2031,3366998.98,890480.7,65141.16,    ,340810.07,265950.07,29782.9,415939.68,    ,494.18,    ,    ,    ,    ,    ,192482.78,6467480151
,2024,in-force,onerous,1,31/08/2031,3363617.28,891255.25,65221.7,    ,340328.51,269289.83,29767.55,416798.48,    ,491.31,    ,    ,    ,    ,    ,193190.92,6435358636
,2024,in-force,onerous,1,30/09/2031,3359420.25,891777.19,65279.56,    ,339843.75,259681.65,29744.76,417628.94,    ,488.42,    ,    ,    ,    ,    ,195134.48,6402841111
,2024,in-force,onerous,1,31/10/2031,3355910.62,892490.15,65353.65,    ,339355.74,267230.1,29727.92,418460.07,    ,485.62,    ,    ,    ,    ,    ,195375.34,6371115825
,2024,in-force,onerous,1,30/11/2031,3353173.21,893419.14,65446.17,    ,338861.63,275804.53,29717.8,419326.63,    ,482.89,    ,    ,    ,    ,    ,195549.34,6340248293
,2024,in-force,onerous,1,31/12/2031,3351259.1,894579.2,65558.48,    ,338358.82,285026.35,29714.85,420242.09,    ,480.26,    ,    ,    ,    ,    ,195699.27,6310277306
,2024,in-force,onerous,1,31/01/2032,3346749.17,894960.07,65602.1,    ,337849.84,255212.06,29688.6,421132.67,    ,477.49,    ,    ,    ,    ,    ,199577.07,6278492073
,2024,in-force,onerous,1,29/02/2032,3339029.51,894382.08,65561.16,    ,337333.49,218390.8,29633.57,421910.84,    ,474.52,    ,    ,    ,    ,    ,203922.71,6244401994
,2024,in-force,onerous,1,31/03/2032,3334624.8,894772.17,65604.5,    ,336823.75,255769.64,29607.9,422690.85,    ,471.81,    ,    ,    ,    ,    ,200975.43,6213172360
,2024,in-force,onerous,1,30/04/2032,3333197.75,896031.9,65723.43,    ,336320.61,289360.64,29608.61,423591.04,    ,469.34,    ,    ,    ,    ,    ,198594.47,6184536579
,2024,in-force,onerous,1,31/05/2032,3334085.86,897966.53,65900.82,    ,335824.83,315451.09,29629.81,424631.25,    ,467.06,    ,    ,    ,    ,    ,197109.25,6157969770
,2024,in-force,onerous,1,30/06/2032,3337316.36,900584.69,66137.38,    ,335336.25,341871.99,29671.75,425817.2,    ,464.97,    ,    ,    ,    ,    ,195731.02,6133492504
,2024,in-force,onerous,1,31/07/2032,3333869.76,901337.18,66161.14,    ,334861.5,259196.86,29651.92,426956.6,    ,462.35,    ,    ,    ,    ,    ,202470.09,6102930340
,2024,in-force,onerous,1,31/08/2032,3330746.49,902172.92,66191.66,    ,334396.67,262455.13,29634.8,427995.04,    ,459.78,    ,    ,    ,    ,    ,203080.15,6072847136
,2024,in-force,onerous,1,30/09/2032,3326807.43,902750.54,66201.19,    ,333943.51,253098.78,29610.34,429003.88,    ,457.19,    ,    ,    ,    ,    ,205001.91,6042384666
,2024,in-force,onerous,1,31/10/2032,3323549.85,903519.49,66226.25,    ,333499.58,260456.38,29591.76,430016.88,    ,454.68,    ,    ,    ,    ,    ,205117.19,6012666523
,2024,in-force,onerous,1,30/11/2032,3321058.33,904505.47,66268.9,    ,333064.74,268813.6,29579.81,431068.39,    ,452.24,    ,    ,    ,    ,    ,205162.46,5983754720
,2024,in-force,onerous,1,31/12/2032,3319383.79,905724.11,66330.39,    ,332638.81,277801.62,29574.95,432171.78,    ,449.89,    ,    ,    ,    ,    ,205182.78,5955685995
,2024,in-force,onerous,1,31/01/2033,3315119.55,906153.81,66327.77,    ,332227.1,248758.71,29547.09,433251.27,    ,447.4,    ,    ,    ,    ,    ,209160.38,5925897277
,2024,in-force,onerous,1,28/02/2033,3307654.03,905610.81,66246.14,    ,331830.63,212887.49,29490.84,434220.67,    ,444.73,    ,    ,    ,    ,    ,213631.59,5893924771
,2024,in-force,onerous,1,31/03/2033,3303488.4,906045.17,66243.87,    ,331454.25,249303.41,29463.57,435197.39,    ,442.3,    ,    ,    ,    ,    ,210364.27,5864652488
,2024,in-force,onerous,1,30/04/2033,3302286.55,907357.02,66312.79,    ,331099.07,282030.67,29462.34,436295.88,    ,440.09,    ,    ,    ,    ,    ,207701.63,5837828399
,2024,in-force,onerous,1,31/05/2033,3303388.35,909349.09,66436.83,    ,330765.73,307451.95,29481.34,437535.75,    ,438.06,    ,    ,    ,    ,    ,205992.37,5812956260
,2024,in-force,onerous,1,30/06/2033,3306820.9,912029.98,66616.64,    ,330454.69,333196.17,29520.82,438923.65,    ,436.21,    ,    ,    ,    ,    ,204398.83,5790055568
,2024,in-force,onerous,1,31/07/2033,3303610.2,912692.83,66720.76,    ,330174.13,252091.9,29499.48,440230.04,    ,433.86,    ,    ,    ,    ,    ,211745.93,5761569180
,2024,in-force,onerous,1,31/08/2033,3300719.42,913435.34,66831.69,    ,329920.42,255265.19,29480.88,441430.45,    ,431.57,    ,    ,    ,    ,    ,212247.36,5733531732
,2024,in-force,onerous,1,30/09/2033,3297013.37,913917.98,66917.9,    ,329694.33,246173.51,29455.08,442591.62,    ,429.25,    ,    ,    ,    ,    ,214126.73,5705124113
,2024,in-force,onerous,1,31/10/2033,3293984.7,914588.19,67020.91,    ,329491.44,253331.03,29435.13,443749.07,    ,426.99,    ,    ,    ,    ,    ,214109.46,5677418942
,2024,in-force,onerous,1,30/11/2033,3291717.5,915471.52,67143.1,    ,329313.64,261460.28,29421.78,444938.99,    ,424.82,    ,    ,    ,    ,    ,214019.81,5650475495
,2024,in-force,onerous,1,31/12/2033,3290262.49,916583.5,67285.9,    ,329167.78,270202.71,29415.48,446175.45,    ,422.72,    ,    ,    ,    ,    ,213904.26,5624328925
,2024,in-force,onerous,1,31/01/2034,3286223.61,916907.77,67354.91,    ,329063.43,241969.37,29386.52,447386.07,    ,420.48,    ,    ,    ,    ,    ,217944.21,5596532780
,2024,in-force,onerous,1,28/02/2034,3278991.21,916262.33,67333.25,    ,329003.46,207095.4,29329.54,448488.65,    ,418.08,    ,    ,    ,    ,    ,222497.54,5566644490
,2024,in-force,onerous,1,31/03/2034,3275046.09,916587.87,67401.09,    ,328957.34,242500.77,29301.24,449597.42,    ,415.91,    ,    ,    ,    ,    ,218926.61,5539326144
,2024,in-force,onerous,1,30/04/2034,3274053.19,917783.99,67549.14,    ,328925.8,274321.18,29298.7,450822.27,    ,413.94,    ,    ,    ,    ,    ,215997.22,5514337209
,2024,in-force,onerous,1,31/05/2034,3275354.54,919653.48,67759.1,    ,328910.23,299039.48,29316.19,452181.5,    ,412.13,    ,    ,    ,    ,    ,214074.69,5491204044
,2024,in-force,onerous,1,30/06/2034,3278977.21,922204.05,68031.71,    ,328910.13,324072.53,29353.94,453681.52,    ,410.5,    ,    ,    ,    ,    ,212278.91,5469945313
,2024,in-force,onerous,1,31/07/2034,3275983.58,923014.46,68054.43,    ,328933.7,244668.26,29330.19,455157.11,    ,408.4,    ,    ,    ,    ,    ,220174.4,5443061816
,2024,in-force,onerous,1,31/08/2034,3273305.69,923910.3,68084.26,    ,328976.29,247752.61,29309.1,456546.57,    ,406.35,    ,    ,    ,    ,    ,220563.49,5416599565
,2024,in-force,onerous,1,30/09/2034,3269810.94,924541.41,68092.64,    ,329041.17,238936.8,29280.94,457907.47,    ,404.27,    ,    ,    ,    ,    ,222385.67,5389789546
,2024,in-force,onerous,1,31/10/2034,3266988.06,925368.65,68117.17,    ,329125.92,245885.6,29258.52,459270.43,    ,402.26,    ,    ,    ,    ,    ,222234.45,5363638809
,2024,in-force,onerous,1,30/11/2034,3264921.15,926418.34,68159.98,    ,329231.08,253777.12,29242.57,460667.86,    ,400.31,    ,    ,    ,    ,    ,222009.41,5338203026
,2024,in-force,onerous,1,31/12/2034,3263660.91,927706.39,68222.38,    ,329350.39,262263.5,29233.52,462112.69,    ,398.44,    ,    ,    ,    ,    ,221760.23,5313515222
,2024,in-force,onerous,1,31/01/2035,3259820.8,928185,68218.82,    ,329489.2,234874.47,29202.24,463527.06,    ,396.45,    ,    ,    ,    ,    ,225836.98,5287278539
,2024,in-force,onerous,1,28/02/2035,3252793.02,927651.44,68133.96,    ,329649.02,201040.74,29143.48,464816.25,    ,394.29,    ,    ,    ,    ,    ,230447.43,5259077459
,2024,in-force,onerous,1,31/03/2035,3249040.46,928104.76,68131.02,    ,329704.6,235392.4,29112.85,466103.29,    ,392.34,    ,    ,    ,    ,    ,226620.69,5233289023
,2024,in-force,onerous,1,30/04/2035,3248228.91,929442.27,68201.6,    ,329654.45,266267.15,29107.5,467496.22,    ,390.59,    ,    ,    ,    ,    ,223481.95,5209687447
,2024,in-force,onerous,1,31/05/2035,3249702.12,931460.63,68329.14,    ,329502.7,290252.34,29121.78,469012.39,    ,388.99,    ,    ,    ,    ,    ,221410.04,5187828085
,2024,in-force,onerous,1,30/06/2035,3253487.01,934167.57,68514.31,    ,329245.5,314543.67,29155.95,470658.01,    ,387.55,    ,    ,    ,    ,    ,219489.13,5167728492
,2024,in-force,onerous,1,31/07/2035,3250838.63,935116.13,68720.68,    ,328914.64,237072.27,29141.41,472054.67,    ,385.68,    ,    ,    ,    ,    ,227910.29,5142770238
,2024,in-force,onerous,1,31/08/2035,3248502.53,936137.95,68934.15,    ,328474.75,240063.82,29129.51,473347.18,    ,383.84,    ,    ,    ,    ,    ,228272.71,5118207235
,2024,in-force,onerous,1,30/09/2035,3245342.1,936871.17,69117.8,    ,327938.08,231528.52,29110.18,474601.24,    ,381.99,    ,    ,    ,    ,    ,230131.33,5093298627
,2024,in-force,onerous,1,31/10/2035,3242851.76,937790.79,69320.3,    ,327315.89,238261.93,29096.67,475839.48,    ,380.2,    ,    ,    ,    ,    ,229967.31,5069014892
,2024,in-force,onerous,1,30/11/2035,3241115.85,938921.43,69544.43,    ,326593.13,245908.31,29089.73,477091.76,    ,378.47,    ,    ,    ,    ,    ,229745.72,5045409766
,2024,in-force,onerous,1,31/12/2035,3240185.19,940277.25,69791.87,    ,325756.09,254130.74,29089.83,478369.36,    ,376.8,    ,    ,    ,    ,    ,229519.14,5022515153
,2024,in-force,onerous,1,31/01/2036,3236660.25,940769.17,69952.04,    ,324798.82,227604.46,29066.8,479615.94,    ,375.02,    ,    ,    ,    ,    ,233780.02,4998118051
,2024,in-force,onerous,1,29/02/2036,3229931.03,940218.61,70005.16,    ,323711.06,194834.25,29015.24,480769.23,    ,373.08,    ,    ,    ,    ,    ,238605.49,4971818326
,2024,in-force,onerous,1,31/03/2036,3226485.49,940731.62,70162.35,    ,322622.42,228106.66,28992.67,481929.03,    ,371.34,    ,    ,    ,    ,    ,234705.62,4947833640
,2024,in-force,onerous,1,30/04/2036,3225988.01,942203.65,70412.72,    ,321791.35,258012.58,28996.14,483202.44,    ,369.79,    ,    ,    ,    ,    ,231478.18,4925946410
,2024,in-force,onerous,1,31/05/2036,3227779.79,944425.19,70734.83,    ,321225.35,281246.36,29019.81,484610.24,    ,368.38,    ,    ,    ,    ,    ,229312.1,4905728189
,2024,in-force,onerous,1,30/06/2036,3231887.82,947407.43,71129.57,    ,320919.55,304777.38,29063.94,486159.44,    ,367.11,    ,    ,    ,    ,    ,227260.16,4887195902
,2024,in-force,onerous,1,31/07/2036,3229255.82,948458.65,71289.62,    ,320892.68,229154.27,29054.88,487743.79,    ,365.45,    ,    ,    ,    ,    ,236088.47,4863570156
,2024,in-force,onerous,1,31/08/2036,3226932.65,949631.6,71457.11,    ,321150.43,232050.16,29048.46,489273.56,    ,363.81,    ,    ,    ,    ,    ,236270.69,4840316194
,2024,in-force,onerous,1,30/09/2036,3223789.5,950555.11,71595.94,    ,321706.9,223807.21,29034.37,490801.95,    ,362.15,    ,    ,    ,    ,    ,237934.29,4816738258
,2024,in-force,onerous,1,31/10/2036,3221310.4,951713.55,71753.67,    ,322537.6,230318.03,29026.16,492348.29,    ,360.53,    ,    ,    ,    ,    ,237476.29,4793747758
,2024,in-force,onerous,1,30/11/2036,3219579.27,953140.95,71933.03,    ,323613.33,237711.07,29024.62,493944.97,    ,358.96,    ,    ,    ,    ,    ,236912.59,4771395165
,2024,in-force,onerous,1,31/12/2036,3218646.63,954860.23,72135.64,    ,324970.39,245660.78,29030.2,495606.51,    ,357.45,    ,    ,    ,    ,    ,236289.81,4749710449
,2024,in-force,onerous,1,31/01/2037,3215137.12,955749.2,72253.42,    ,326648.42,220031.51,29012.08,497272.42,    ,355.81,    ,    ,    ,    ,    ,240207.29,4726615315
,2024,in-force,onerous,1,28/02/2037,3208445.23,955610.41,72266.99,    ,328493.21,188367.08,28964.73,498865.52,    ,354.03,    ,    ,    ,    ,    ,244658.54,4701733970
