"Month","Total_Premiums","Total_Acq","Total_Ren","Total_Claims","Total_Commission"
144,32795832.4718806,0,2093716.6336821,11051359.6617803,2093716.6336821
145,32757902.4339076,0,1869276.05005846,11051532.3786961,1869276.05005846
146,32719920.59169,0,1783268.21792544,11063758.3630606,1783268.21792544
147,32682176.1986664,0,1856604.97462376,11081564.9947353,1856604.97462376
148,32648940.2337866,0,1839967.88478796,11099206.2276485,1839967.88478796
149,32622830.8281889,0,1902707.75369465,11125427.2097542,1902707.75369465
150,32607813.6902608,0,1960060.84946392,11169352.6636523,1960060.84946392
151,32597664.6006073,0,1868342.26519849,11206553.7374613,1868342.26519849
152,32496086.2352331,0,1189011.77725911,11194042.4479029,1189011.77725911
153,32425638.9400158,0,1532977.08919681,11195891.1077783,1532977.08919681
154,32398760.8360869,0,1940658.88382046,11212475.0860607,1940658.88382046
155,32371347.6677194,0,1987578.77795807,11232718.067833,1987578.77795807
156,32355356.3536647,0,1987570.4305567,11256820.7585536,1987570.4305567
157,32307588.2951599,0,1772986.59129892,11256938.0364927,1772986.59129892
158,32255409.0512083,0,1692361.30493561,11265455.398491,1692361.30493561
159,32223770.6044297,0,1765642.12268245,11279839.1328934,1765642.12268245
160,32204057.4674343,0,1736496.52456656,11295945.182349,1736496.52456656
161,32180139.4026486,0,1788164.23443475,11323533.0552529,1788164.23443475
162,32182592.5239216,0,1840563.21835579,11360961.8829243,1840563.21835579
163,32165144.9329269,0,1739380.91364211,11399015.7711736,1739380.91364211
164,32051755.8875113,0,1118803.22812448,11386853.931463,1118803.22812448
165,31977162.1343057,0,1447440.67979897,11385344.3669301,1447440.67979897
166,31959627.2087584,0,1833051.85309132,11406664.8841149,1833051.85309132
167,31936709.8154576,0,1886067.33576509,11421912.5521881,1886067.33576509
168,31919079.180382,0,1879237.63581709,11440880.6282613,1879237.63581709
169,31882546.154148,0,1672894.34631464,11440255.858329,1672894.34631464
170,31839002.1741874,0,1597271.86379967,11450699.652277,1597271.86379967
171,31806629.9933476,0,1667835.67663555,11464013.4833147,1667835.67663555
172,31768285.988971,0,1618600.61584203,11481123.3766854,1618600.61584203
173,31748661.6173904,0,1695741.87600777,11508225.230003,1695741.87600777
174,31737630.6954455,0,1694652.59237468,11546906.9202568,1694652.59237468
175,31721895.2409679,0,1611744.43555331,11584396.3453754,1611744.43555331
176,31612264.7203543,0,1048393.79540954,11570252.1517951,1048393.79540954
177,31544502.4373158,0,1359033.88434726,11572209.5019099,1359033.88434726
178,31512159.1992143,0,1729062.95258398,11590023.5053661,1729062.95258398
179,31490767.2470042,0,1772487.85765056,11606415.8661232,1772487.85765056
180,31479053.5300447,0,1765826.03096514,11630214.6343889,1765826.03096514
181,31435208.6412577,0,1569556.45776368,11626628.7499478,1569556.45776368
182,31404286.6700995,0,1498355.36070034,11637619.4311956,1498355.36070034
183,31372720.1698378,0,1560109.17821338,11652922.4553467,1560109.17821338
