2 Yield Curve and Inflation Rates - 30Jun17 - SAM CPR RiskFree rates;;;
!2;TIME;RFR_PC;RY_PC
*;257;12.912503421027;3.504933649
*;258;12.9293912840217;3.505353189
*;259;12.9454625819917;3.505752429
*;260;12.9609896038485;3.506138136
*;261;12.9776068107766;3.50655091
*;262;12.9947694939333;3.506977218
*;263;13.0108430720865;3.50737646
*;264;13.0274620661307;3.507789236
*;265;13.0446266155279;3.508215546
*;266;13.0612468470399;3.508628322
*;267;13.078140159989;3.509047866
*;268;13.0944891260655;3.509453876
*;269;13.1111111433362;3.509866654
*;270;13.1282787937779;3.510292966
*;271;13.1443570231342;3.510692211
*;272;13.1604357829209;3.511091456
*;273;13.1770601939228;3.511504235
*;274;13.1934126520838;3.511910248
*;275;13.2100382392734;3.512323028
*;276;13.226936994868;3.512742576
*;277;13.2432912272262;3.51314859
*;278;13.2599185977665;3.513561371
*;279;13.277091776142;3.513987687
*;280;13.2931751816794;3.514386935
*;281;13.3098043347582;3.514799718
*;282;13.3269793746425;3.515226035
*;283;13.3427918745882;3.515618518
*;284;13.3591501715552;3.516024535
*;285;13.3760543826764;3.516444086
*;286;13.3921412159396;3.516843337
*;287;13.4087739325648;3.517256122
*;288;13.4259526314652;3.517682441
*;289;13.4428592689134;3.518101994
*;290;13.4594938252449;3.51851478
*;291;13.4758562609393;3.5189208
*;292;13.4924919904408;3.519333587
*;293;13.5094010530568;3.519753142
*;294;13.5257652584504;3.520159163
*;295;13.5421300208647;3.520565184
*;296;13.5590408914691;3.52098474
*;297;13.5754068462632;3.521390762
*;298;13.5920461328678;3.521803552
*;299;13.6089588308087;3.522223109
*;300;13.62505373902;3.522622365
*;301;13.6419676073049;3.523041923
*;302;13.6591549465171;3.523468249
*;303;13.675797241034;3.523881041
*;304;13.6924401410086;3.524293833
*;305;13.7088107823482;3.524699858
*;306;13.7257277064976;3.525119418
*;307;13.7420995384706;3.525525444
*;308;13.7581990338894;3.525924704
*;309;13.7742991150949;3.526323964
*;310;13.7909455066331;3.526736758
*;311;13.8081383474073;3.527163088
*;312;13.8247859680247;3.527575883
*;313;13.8417071148794;3.527995446
*;314;13.8580830129357;3.528401475
*;315;13.8747324070304;3.528814272
*;316;13.8916553765846;3.529233836
*;317;13.9077600579712;3.529633099
*;318;13.9246841948463;3.530052664
*;319;13.9413360059483;3.530465462
*;320;13.9571693929498;3.530857959
*;321;13.9738223325502;3.531270758
*;322;13.9907488847535;3.531690325
*;323;14.007130013005;3.532096358
