!2;TIME;RFR_PC;RY_PC
*;335;12.34059898;5.059434628
*;336;12.33627387;5.056969201
*;337;12.33194892;5.054503833
*;338;12.32762413;5.052038522
*;339;12.32329951;5.049573269
*;340;12.31897506;5.047108073
*;341;12.31465078;5.044642936
*;342;12.31032666;5.042177856
*;343;12.30600271;5.039712835
*;344;12.30167893;5.037247871
*;345;12.29735531;5.034782965
*;346;12.29303186;5.032318117
*;347;12.28870857;5.029853326
*;348;12.28438545;5.027388594
*;349;12.2800625;5.024923919
*;350;12.27573971;5.022459302
*;351;12.27141709;5.019994743
*;352;12.26709464;5.017530242
*;353;12.26277235;5.015065799
*;354;12.25845023;5.012601414
*;355;12.25412828;5.010137086
*;356;12.24980649;5.007672816
*;357;12.24548487;5.005208604
*;358;12.24116341;5.00274445
*;359;12.23684213;5.000280354
*;360;12.232521;4.997816315
*;361;12.22820005;4.995352335
*;362;12.22387926;4.992888412
*;363;12.21955864;4.990424547
*;364;12.21523818;4.987960739
*;365;12.21091789;4.98549699
*;366;12.20659776;4.983033298
*;367;12.20227781;4.980569665
*;368;12.19795802;4.978106089
*;369;12.19363839;4.975642571
*;370;12.18931893;4.97317911
*;371;12.18499964;4.970715708
*;372;12.18068051;4.968252363
*;373;12.17636155;4.965789076
*;374;12.17204276;4.963325847
*;375;12.16772413;4.960862676
*;376;12.16340567;4.958399562
*;377;12.15908738;4.955936507
*;378;12.15476925;4.953473509
*;379;12.15045129;4.951010569
*;380;12.14613349;4.948547686
*;381;12.14181586;4.946084862
*;382;12.1374984;4.943622095
*;383;12.1331811;4.941159386
*;384;12.12886397;4.938696735
*;385;12.124547;4.936234142
*;386;12.1202302;4.933771606
*;387;12.11591357;4.931309129
*;388;12.11159711;4.928846709
*;389;12.10728081;4.926384347
*;390;12.10296467;4.923922042
*;391;12.0986487;4.921459796
*;392;12.0943329;4.918997607
*;393;12.09001727;4.916535476
*;394;12.0857018;4.914073403
*;395;12.08138649;4.911611387
*;396;12.07707136;4.909149429
*;397;12.07275639;4.906687529
*;398;12.06844158;4.904225687
*;399;12.06412694;4.901763903
*;400;12.05981247;4.899302176
*;401;12.05549816;4.896840507
*;402;12.05118402;4.894378896
*;403;12.04687005;4.891917343
*;404;12.04255624;4.889455848
*;405;12.0382426;4.88699441
*;406;12.03392912;4.88453303
*;407;12.02961581;4.882071707
*;408;12.02530267;4.879610443
