Reporting Date,GIC Code,Premium CFs (Unlinked)(Current Service),Premium CFs (Unlinked)(Future Service),Acquisition Expense CFs (Unlinked)(Current Service),Acquisition Expense CFs (Unlinked)(Future Service),Investment Component CFs (Unlinked),Claim and Other Expense CFs (Unlinked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Unlinked)(Incurred in Future Reporting Periods),Premium CFs (Linked)(Current Service),Premium CFs (Linked)(Future Service),Acquisition Expense CFs (Linked)(Current Service),Acquisition Expense CFs (Linked)(Future Service),Investment Component CFs (Linked),Claim and Other Expense CFs (Linked)(Incurred in Current Reporting Period),Claim and Other Expense CFs (Linked)(Incurred in Future Reporting Periods),Delay (in Years)
6/30/2017,BLL_1711,0,33775.31252,0,366.0227382,0,0,-19124.35332,0,0,0,0,0,0,0,8.416666667
6/30/2017,BLL_1711,0,33395.66293,0,321.8966336,0,0,-19027.2315,0,0,0,0,0,0,0,8.5
6/30/2017,BLL_1711,0,33020.36634,0,278.7215642,0,0,-18929.53773,0,0,0,0,0,0,0,8.583333333
6/30/2017,BLL_1711,0,32649.36787,0,236.4814305,0,0,-18831.54957,0,0,0,0,0,0,0,8.666666667
6/30/2017,BLL_1711,0,32888.96354,0,-8080.17638,0,0,-18866.12405,0,0,0,0,0,0,0,8.75
6/30/2017,BLL_1711,0,33828.7697,0,-17540.94687,0,0,-19061.23143,0,0,0,0,0,0,0,8.833333333
6/30/2017,BLL_1711,0,34924.59063,0,-20861.78294,0,0,-19315.05175,0,0,0,0,0,0,0,8.916666667
6/30/2017,BLL_1711,0,34530.63779,0,621.558663,0,0,-19365.42445,0,0,0,0,0,0,0,9
6/30/2017,BLL_1711,0,34141.79511,0,590.0708345,0,0,-19318.38854,0,0,0,0,0,0,0,9.083333333
6/30/2017,BLL_1711,0,33757.84384,0,559.2163468,0,0,-19246.3243,0,0,0,0,0,0,0,9.166666667
6/30/2017,BLL_1711,0,33378.41789,0,509.9350267,0,0,-19164.48146,0,0,0,0,0,0,0,9.25
6/30/2017,BLL_1711,0,33003.38839,0,436.8185731,0,0,-19078.85985,0,0,0,0,0,0,0,9.333333333
6/30/2017,BLL_1711,0,32632.66867,0,351.2243006,0,0,-18991.07159,0,0,0,0,0,0,0,9.416666667
6/30/2017,BLL_1711,0,32266.19416,0,308.8894173,0,0,-18902.20167,0,0,0,0,0,0,0,9.5
6/30/2017,BLL_1711,0,31903.9122,0,267.4663301,0,0,-18812.73936,0,0,0,0,0,0,0,9.583333333
6/30/2017,BLL_1711,0,31545.76996,0,226.9396387,0,0,-18722.9417,0,0,0,0,0,0,0,9.666666667
6/30/2017,BLL_1711,0,31779.9321,0,-7744.949939,0,0,-18763.43486,0,0,0,0,0,0,0,9.75
6/30/2017,BLL_1711,0,32698.3503,0,-16809.4509,0,0,-18956.41895,0,0,0,0,0,0,0,9.833333333
6/30/2017,BLL_1711,0,33869.46172,0,-19913.00577,0,0,-19271.90782,0,0,0,0,0,0,0,9.916666667
6/30/2017,BLL_1711,0,33487.24574,0,594.7657906,0,0,-19321.80285,0,0,0,0,0,0,0,10
6/30/2017,BLL_1711,0,33109.99975,0,564.562932,0,0,-19279.33989,0,0,0,0,0,0,0,10.08333333
6/30/2017,BLL_1711,0,32737.55105,0,534.9675518,0,0,-19213.4258,0,0,0,0,0,0,0,10.16666667
6/30/2017,BLL_1711,0,32369.48592,0,487.7258475,0,0,-19137.8367,0,0,0,0,0,0,0,10.25
6/30/2017,BLL_1711,0,32005.67627,0,417.661517,0,0,-19058.11158,0,0,0,0,0,0,0,10.33333333
