"Month","Total_Premiums","Total_Claims","Total_Commission","Total_Ren","Total_Adm"
207,1753421.51694541,591925.405966041,122260.03339594,104506.713038632,5840589.01910727
208,1749218.17689315,593068.954741584,137592.387804917,119905.203341048,5840589.01910727
209,1740685.07569788,593604.90097652,115124.960357849,97579.5944058744,5840589.01910727
210,1735272.94615038,593278.598719017,116604.208661151,99150.6982788008,5840589.01910727
211,1723451.95455156,591003.707127783,80892.1698389474,63528.5527809448,5840589.01910727
212,1713256.34279051,590058.009177602,97001.4502651621,79905.3121251084,5840589.01910727
213,1707201.15151285,591016.891030743,133186.692675401,116139.073878295,5840589.01910727
214,1695683.08465818,588766.345234296,85781.9963017756,68868.3303103364,5840589.01910727
215,1685275.17611725,586825.081253668,85447.1529108363,68656.7186336423,5840589.01910727
216,1664660.08337721,580560.493613695,6748.94236443464,-9837.76899840331,5840589.01910727
217,1668654.3914274,584859.100750425,214083.41932038,197379.996319405,5840589.01910727
218,1660826.33332239,583574.505507138,90736.3681247963,74054.5047999329,5840589.01910727
219,1654866.34912394,582455.164778795,111781.123199973,95128.0054267287,5840589.01910727
220,1651315.07892344,582977.516079837,124604.024162537,108009.924913783,5840589.01910727
221,1645979.47040494,582549.272320569,104866.992846556,88226.9303735702,5840589.01910727
222,1639443.03599579,582107.235095287,105843.202506148,89261.7869593378,5840589.01910727
223,1628349.49387727,580241.15908708,74204.6345550534,57734.4473643073,5840589.01910727
224,1617543.7756496,579618.236157697,88840.3836237371,72509.7710319985,5840589.01910727
225,1614215.4450264,580630.503683366,121376.104594847,105089.09639969,5840589.01910727
226,1604970.59835353,578639.018000942,81224.5729047119,65065.4789247335,5840589.01910727
227,1595785.44193895,576779.641783265,78727.7148110474,62716.3287392299,5840589.01910727
228,1576125.14218349,570608.398373603,6845.26444787603,-8970.39146093652,5840589.01910727
229,1583350.24154595,575254.291006905,194785.99058516,178795.707726728,5840589.01910727
230,1574260.31708364,573807.433400972,84373.6911800255,68427.3175400577,5840589.01910727
231,1567408.15919185,571713.566668774,102018.229270034,86161.8068139927,5840589.01910727
232,1563154.06493989,571676.241684156,113462.239182858,97700.4640303675,5840589.01910727
233,1557391.75223836,571699.930803064,90990.1511254165,75180.6774374859,5840589.01910727
234,1553495.36826548,570674.400620173,96035.3185026303,80279.2100592335,5840589.01910727
235,1542432.12225034,568248.44885471,67749.5712267842,52075.7770591215,5840589.01910727
236,1533770.82145341,567574.141973738,81140.6585226875,65600.8037798128,5840589.01910727
237,1528761.54306678,568537.397539821,110078.397156667,94667.6152487456,5840589.01910727
238,1520026.64953828,566484.65739529,73421.620125779,58140.6723637488,5840589.01910727
239,1509302.61351084,563782.717805974,72149.1388584252,56980.7566131965,5840589.01910727
240,1490571.11034291,557702.110375029,6899.28746013008,-8082.26028448538,5840589.01910727
241,1495016.00116191,560293.284958086,176617.379417616,161480.023708119,5840589.01910727
242,1485446.10106794,559190.792270332,76589.052327714,61490.8439165607,5840589.01910727
243,1479761.77977599,557965.55433719,91531.1496324412,76476.911824666,5840589.01910727
244,1474870.74613145,556509.630533445,101470.376483526,86636.4781540612,5840589.01910727
245,1470003.84837912,555327.359995209,84560.2458972211,69676.1975793701,5840589.01910727
246,1466754.38774151,554918.1388525,86167.2579101768,71330.622658406,5840589.01910727
247,1457403.14541103,551353.235924816,61627.8486019952,46891.3649479968,5840589.01910727
248,1449465.81441347,550517.807122947,73693.0154265966,59082.8658345398,5840589.01910727
249,1444126.17082662,550384.198359771,97585.5272776531,83022.0377962151,5840589.01910727
250,1435176.80918371,547545.762146663,68376.1245826807,53925.4794527876,5840589.01910727
251,1426001.35627935,544101.99988786,65933.3308378249,51593.8071405884,5840589.01910727
252,1408159.45877511,538099.166316515,6902.69405512226,-7258.67784452793,5840589.01910727
253,1411794.93223038,541871.828150189,156298.978544747,141983.24563877,5840589.01910727
254,1402675.23452776,540474.709811789,69539.4406304348,55248.4474755475,5840589.01910727
255,1394323.25000278,538762.556651139,83799.0539008301,69543.7638809115,5840589.01910727
256,1390062.86040763,539544.849275884,89014.9983476771,74823.5873248031,5840589.01910727
257,1384615.61045332,538486.521248259,75673.1499844303,61441.8636596587,5840589.01910727
258,1379018.36775117,537270.679287498,76485.2510981285,62583.3096042319,5840589.01910727
259,1368661.44727389,532901.0070044,55984.0906777501,42154.3341886641,5840589.01910727
260,1359245.84982806,530793.262897421,66735.4497465844,53024.9197624328,5840589.01910727
261,1354791.39537972,530984.220370811,88625.3522458094,74959.0829369354,5840589.01910727
262,1346322.79938029,528955.540176633,60685.3026945988,47125.0480407853,5840589.01910727
263,1338478.56796232,526387.674527741,59612.6570666215,46178.2684752278,5840589.01910727
264,1321600.05907327,520486.800672559,6800.93528352549,-6464.84570397051,5840589.01910727
265,1324754.73756881,524349.833941119,141976.174622341,128704.954697116,5840589.01910727
266,1317014.15488357,523207.657896767,61845.6785194032,48587.7776014483,5840589.01910727
267,1310872.37138996,520900.491781506,74242.0302838556,61083.9965856086,5840589.01910727
268,1308535.85423947,520163.9467294,80539.4961430183,67436.8959287536,5840589.01910727
269,1301712.10810976,520124.171118205,63975.1118501184,50867.9708886455,5840589.01910727
270,1298699.20282435,519302.060119721,67462.2811623736,54492.9413685063,5840589.01910727
271,1289732.0747929,516669.792710933,50581.4273170675,37677.4069717817,5840589.01910727
272,1279815.12152939,515884.011075544,60206.3098362728,47420.8332291748,5840589.01910727
