"Month","Total_Premiums","Total_Recoveries","Total_FinReIncome","Total_FinReRepayment","Total_RiskReinsuranceRecoveries","Total_RiskReinsurancePremiums"
145,0,109917.287560789,0,895684.67558955,109917.287560789,0
146,0,109951.785163288,0,895353.667305553,109951.785163288,0
147,0,109951.549190223,0,894781.07132688,109951.549190223,0
148,0,109977.600919512,0,894398.115302348,109977.600919512,0
149,0,110033.399809502,0,894229.143802901,110033.399809502,0
150,0,110121.024729421,0,894288.822163733,110121.024729421,0
151,0,110101.740319623,0,893596.354536799,110101.740319623,0
152,0,109950.671014472,0,891975.980979416,109950.671014472,0
153,0,109932.616493264,0,891299.77024235,109932.616493264,0
154,0,110033.89500191,0,891470.675316498,110033.89500191,0
155,0,110227.612409753,0,892298.46939554,110227.612409753,0
156,0,110514.840807943,0,893790.894207166,110514.840807943,0
157,0,110827.702338377,0,893665.039893151,110827.702338377,0
158,0,111152.179302993,0,893625.34289823,111152.179302993,0
159,0,111428.746918858,0,893331.317107713,111428.746918858,0
160,0,111735.850764201,0,893230.718540329,111735.850764201,0
161,0,112077.963621456,0,893348.857000922,112077.963621456,0
162,0,112457.784558251,0,893700.983774987,112457.784558251,0
163,0,112697.126352491,0,893269.041673437,112697.126352491,0
164,0,112764.127469599,0,891870.695552634,112764.127469599,0
165,0,112999.039746569,0,891449.312202598,112999.039746569,0
166,0,113384.263337654,0,891904.122102324,113384.263337654,0
167,0,113885.230259281,0,893037.601758553,113885.230259281,0
168,0,114503.311297129,0,894857.748732973,114503.311297129,0
169,0,114801.271045481,0,894593.789909652,114801.271045481,0
170,0,115111.156154842,0,894415.810632025,115111.156154842,0
171,0,115372.181894088,0,893988.545593273,115372.181894088,0
172,0,115664.461730098,0,893753.078072198,115664.461730098,0
173,0,115992.556519185,0,893734.282177243,115992.556519185,0
174,0,116359.219121588,0,893947.126095114,116359.219121588,0
175,0,116582.487954522,0,893388.604301748,116582.487954522,0
176,0,116629.850612478,0,891879.130416747,116629.850612478,0
177,0,116848.785676211,0,891333.319800514,116848.785676211,0
178,0,117221.292709619,0,891651.809261804,117221.292709619,0
179,0,117712.050378613,0,892639.934257416,117712.050378613,0
180,0,118322.437816614,0,894305.535860993,118322.437816614,0
181,0,118566.476648532,0,893973.805306942,118566.476648532,0
182,0,118822.74838728,0,893727.789923185,118822.74838728,0
183,0,119030.945379077,0,893234.52634937,119030.945379077,0
184,0,119270.549240526,0,892931.642436728,119270.549240526,0
185,0,119546.078179292,0,892843.80088119,119546.078179292,0
186,0,119860.254232144,0,892985.856628156,119860.254232144,0
187,0,120032.551554062,0,892362.290393231,120032.551554062,0
188,0,120030.733830194,0,890794.925657852,120030.733830194,0
189,0,120199.542539869,0,890184.170129425,120199.542539869,0
190,0,120521.092916318,0,890431.355752156,120521.092916318,0
191,0,120960.317130234,0,891343.198521674,120960.317130234,0
192,0,121518.565014952,0,892927.402769707,121518.565014952,0
193,0,121358.830614411,0,892321.289948599,121358.830614411,0
194,0,121211.250609377,0,891800.02032637,121211.250609377,0
195,0,121031.860012274,0,891042.601912092,121031.860012274,0
196,0,120878.535554954,0,890471.239843752,120878.535554954,0
197,0,120754.533923894,0,890109.638584964,120754.533923894,0
198,0,120661.801486321,0,889972.055852984,120661.801486321,0
199,0,120468.794844791,0,889098.225121783,120468.794844791,0
200,0,120152.023977243,0,887316.325458387,120152.023977243,0
201,0,119962.620027044,0,886459.415634374,119962.620027044,0
202,0,119887.497716675,0,886432.212503425,119887.497716675,0
203,0,119901.057876934,0,887048.203769071,119901.057876934,0
204,0,120004.238129097,0,888314.760251504,120004.238129097,0
205,0,120257.688921506,0,887693.276142681,120257.688921506,0
206,0,120523.949386053,0,887155.714597264,120523.949386053,0
207,0,120740.979608883,0,886382.519498087,120740.979608883,0
208,0,120990.53261482,0,885794.130031507,120990.53261482,0
209,0,121277.253795608,0,885414.158215578,121277.253795608,0
210,0,121603.939713128,0,885256.789329166,121603.939713128,0
211,0,121784.88834121,0,884365.933577175,121784.88834121,0
212,0,121786.929780357,0,882570.606736441,121786.929780357,0
213,0,121964.673332386,0,881695.948971112,121964.673332386,0
214,0,122299.72464469,0,881646.954565253,122299.72464469,0
215,0,122756.012417352,0,882237.827499884,122756.012417352,0
216,0,123334.926946411,0,883475.83348406,123334.926946411,0
217,0,123691.260894967,0,882686.794437314,123691.260894967,0
218,0,124060.431227578,0,881981.043222953,124060.431227578,0
219,0,124374.148602236,0,881046.625857261,124374.148602236,0
220,0,124722.452705247,0,880293.34189432,124722.452705247,0
221,0,125110.458321729,0,879744.26217821,125110.458321729,0
222,0,125541.247243166,0,879413.245062948,125541.247243166,0
223,0,125810.376800922,0,878368.027753947,125810.376800922,0
224,0,125881.403596556,0,876441.993788564,125881.403596556,0
225,0,126144.811538459,0,875414.914997364,126144.811538459,0
226,0,126580.292642957,0,875194.138209747,126580.292642957,0
227,0,127148.088696992,0,875598.423861724,127148.088696992,0
228,0,127849.694080706,0,876634.761656462,127849.694080706,0
229,0,128181.634200627,0,876258.829186943,128181.634200627,0
